Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
67890,The Archetypes and the Collective Unconscious (Collected Works 9i),C.G. Jung,"Jung, C.G.","Michael Fordham, Herbert Read, R.F.C. Hull","=""0691097615""","=""9780691097619""",5,4.30,Princeton University Press (NJ),Hardcover,550,1969,1959,2018/03/01,2019/01/17,,,read,,,,1,0
19742055,Timaeus and Critias,Plato,"Plato, Plato","Robin Waterfield, Andrew Gregory","=""0191604992""","=""9780191604997""",5,3.84,Oxford University Press,Kindle Edition,234,2008,-360,2019/01/09,2019/01/09,,,read,,,,1,0
99944,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana","Juan Mascaró, Simon Brodbeck","=""0140449183""","=""9780140449181""",5,4.17,Penguin,Paperback,160,2003,,,2019/01/05,,,read,,,,1,0
6283636,Mia vivo,Trifon Ĥristovski,"Ĥristovski, Trifon",Nikola Aleksiev,"=""""","=""""",5,5.00,Sofia Pres,Paperback,180,1981,1981,,2019/01/05,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",5,4.26,Penguin,Paperback,671,2002,1866,,2018/09/04,,,read,,,,1,0
36695178,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.","Norman Doidge, Ethan Van Sciver","=""""","=""""",5,3.93,Allen Lane,Kindle Edition,403,2018,2018,2018/08/08,2018/04/27,,,read,,,,1,0
8865033,The Great Stone Face: And Other Tales of the White Hills,Nathaniel Hawthorne,"Hawthorne, Nathaniel",,"=""1146249500""","=""9781146249508""",5,3.67,Nabu Press,Paperback,98,2010,1882,,2018/03/20,,,read,,,,1,0
929782,Martin Eden,Jack London,"London, Jack",Andrew Sinclair,"=""""","=""""",5,4.47,Penguin,Paperback,480,1994,1908,,2015/07/20,,,read,,,,1,0
12764,The Death of Artemio Cruz,Carlos Fuentes,"Fuentes, Carlos",Alfred J. MacAdam,"=""0374522839""","=""9780374522834""",5,3.86,"Farrar, Straus and Giroux",Paperback,307,1991,1962,2017/10/17,2015/07/20,,,read,"A great book which depics the memories of a man lying on his deathbed. The main theme in the book is the battle between choices. Some people make choices which help them survive, however we can see such a man trying to make sense and live with his choices, unlike his son for example which in a romantic fashion risks everything to die for his ideology and his beloved ones. <br/><br/>Fuentes also shows how the Mexican revolution changes people's mindsets after all the blood which has been shed. The revolutionaries are tired, old, low in numbers and the rest try to play out the revotion for their own benefit. ",,,1,0
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,3.98,Scribner,Paperback,471,1995,1940,,2017/09/27,,,read,,,,1,0
221657,Alexis Zorba,Nikos Kazantzakis,"Kazantzakis, Nikos",,"=""2266128744""","=""9782266128742""",5,4.05,POCKET,Mass Market Paperback,347,2002,1946,,2017/07/15,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",5,3.80,Scribner,Hardcover,96,1996,1952,,2017/08/22,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.02,Vintage International,Paperback,159,1989,1942,,2017/07/21,,,read,,,,1,0
13142142,Физика на тъгата,Georgi Gospodinov,"Gospodinov, Georgi","Яна Левиева, Георги Господинов","=""9544917489""","=""9789544917487""",5,4.07,Жанет-45,Paperback,344,2011,2011,2017/05/31,2017/04/16,,,read,,,,1,0
599370,Natural Novel,Georgi Gospodinov,"Gospodinov, Georgi",Zornitsa Hristova,"=""1564783766""","=""9781564783769""",4,3.89,Dalkey Archive Press,Paperback,150,2005,1999,,2017/04/16,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.13,Vintage International,Paperback,467,2006,2002,2017/04/16,2017/03/08,,,read,,,,1,0
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",5,4.26,Small Beer Press,ebook,281,2010,2002,,2016/10/18,,,read,,,,1,0
2932,Robinson Crusoe,Daniel Defoe,"Defoe, Daniel",Virginia Woolf,"=""""","=""""",4,3.68,Modern Library,Hardcover,320,2001,1719,,2016/08/18,,,read,,,,1,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",4,3.90,Penguin Books,Paperback,1023,2003,1605,,2016/08/18,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Bernard Knox, Robert Fagles","=""0143039954""","=""9780143039952""",5,3.80,Penguin Classics ,Paperback,541,2006,-700,,2016/08/18,,,read,,,,1,0
1371,The Iliad,Homer,"Homer, Homer","Robert Fagles, Andrew Lang, Alexander Pope, W.H.D. Rouse, Bernard Knox, William Lucas Collins, G. Chapman, Walter Leaf, Ernest Myers, Gilbert Wakefield, Prentiss Cummings, R. Hooper, Richmond Lattimore, G. Cerri","=""0140275363""","=""9780140275360""",5,3.90,Penguin Classics,Library Binding,704,1999,1951,,2016/08/18,,,read,,,,1,0
52823,Tartuffe,Molière,"Molière, Molière","Martin Sorrell, Curtis Hidden Page","=""1854596373""","=""9781854596376""",4,3.66,Nick Hern Books,Paperback,180,2002,1664,,2016/08/18,,,read,,,,1,0
397507,Heaven Has No Favorites,Erich Maria Remarque,"Remarque, Erich Maria",Clara Winston,"=""0449912493""","=""9780449912492""",5,4.26,Random House Trade Paperbacks,Paperback,320,1998,1961,2016/09/01,2016/08/26,,,read,,,,1,0
2177370,Tony and Susan,Austin Wright,"Wright, Austin",,"=""0446601055""","=""9780446601054""",3,3.19,Grand Central Pub,Paperback,374,1994,1993,2016/11/03,2016/10/15,,,read,,,,1,0
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von","Burton Pike, R. Dillon Boylan","=""0812969901""","=""9780812969900""",3,3.69,Modern Library,Paperback,149,2005,1774,2016/11/25,2016/10/14,,,read,,,,1,0
10335790,Adjustment Team,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,3.75,,Kindle Edition,43,,1954,2016/10/01,2016/10/08,,,read,,,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",5,4.15,Knopf,Paperback,607,1997,1994,2017/03/08,2017/02/13,,,read,,,,2,0
30514,The Words: The Autobiography of Jean-Paul Sartre,Jean-Paul Sartre,"Sartre, Jean-Paul",Bernard Frechtman,"=""0394747097""","=""9780394747095""",5,3.75,Vintage,Mass Market Paperback,256,1981,1964,2016/08/26,2016/08/18,,,read,,,,1,0
97411,Letters from a Stoic,Seneca,"Seneca, Seneca",,"=""0140442103""","=""9780140442106""",5,4.35,Penguin Books,Paperback,254,2004,65,2016/08/01,2016/07/20,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2015/07/02,,,read,,,,1,0
15677,Strangers on a Train,Patricia Highsmith,"Highsmith, Patricia",,"=""0393321983""","=""9780393321982""",5,3.73,W. W. Norton & Company,Paperback,281,2001,1950,2016/06/09,2015/09/14,,,read,,,,1,0
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",5,3.60,Vintage,Paperback,259,1992,1962,2015/09/28,2015/06/25,,,read,,,,1,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",5,4.07,Dell Publishing,Paperback,303,1999,1973,2015/09/13,2015/07/02,,,read,,,,1,0
135479,Cat's Cradle,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0140285601""","=""9780140285604""",5,4.16,Penguin,Paperback,179,1999,1963,2015/09/08,2015/09/06,,,read,,,,1,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",4,3.99,Harcourt,Paperback,204,2002,1961,,2015/07/02,,,read,,,,1,0
22628,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,"=""""","=""""",3,4.23,MTV Books/Pocket Books,Paperback,213,1999,1999,,2015/07/09,,,read,,,,1,0
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",4,3.97,Harper Voyager,Hardcover,227,2013,1953,2015/08/14,2015/07/02,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",5,4.23,Crown Publishers,Hardcover,374,2011,2011,2015/09/06,2015/08/17,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",5,3.99,Alfred A. Knopf,Hardcover,241,2006,2006,2015/08/15,2015/07/22,,,read,,,,1,0
1950234,Chac Mool,Carlos Fuentes,"Fuentes, Carlos",Maria Bamberg,"=""3423017783""","=""9783423017787""",5,4.03,München: Deutscher Taschenbuch-Verlag,Paperback,157,1982,1964,2015/08/05,2015/08/06,,,read,,,,1,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,"=""0140042598""","=""9780140042597""",5,3.61,Penguin Books,Paperback,307,1976,1957,2015/07/28,2015/07/09,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,New American Library,Mass Market Paperback,328,1950,1949,,2015/07/09,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",5,3.80,Back Bay Books,Paperback,234,2001,1951,,2015/07/09,,,read,,,,1,0
5527,All the King's Men,Robert Penn Warren,"Warren, Robert Penn",,"=""""","=""""",4,4.09,Harcourt Brace,Paperback,439,1996,1946,,2015/07/09,,,read,,,,1,0
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""""","=""""",5,4.32,"Harcourt, Inc.",Paperback,96,2000,1943,,2015/07/16,,,read,,,,1,0
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,4.09,Del Rey / Ballantine Books,Paperback,244,1996,1968,2015/07/09,2015/06/25,,,read,,,,1,0
70771,Nightfall and Other Stories,Isaac Asimov,"Asimov, Isaac",,"=""0345310918""","=""9780345310910""",5,4.26,Del Rey,Mass Market Paperback,350,1984,1969,,2015/07/02,,,read,,,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",5,4.11,Harper,Mass Market Paperback,417,2003,1967,,2015/07/02,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2015/07/02,,,read,,,,1,0
14817,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""057507681X""","=""9780575076815""",5,4.02,Gollancz,Paperback,219,2006,1977,,2015/06/25,,,read,,,,1,0
5048174,2BR02B,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,3.95,,Kindle Edition,15,2007,1968,,2015/06/25,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",5,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2015/06/25,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",5,3.93,Scribner,Paperback,180,1925,1925,,2015/06/25,,,read,,,,1,0
