Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43713,Structure and Interpretation of Computer Programs,Harold Abelson,"Abelson, Harold","Gerald Jay Sussman, Julie Sussman","=""0262510871""","=""9780262510875""",0,4.46,The MIT Press,Paperback,657,1996,1984,,2023/02/26,to-read,to-read (#5),to-read,,,,0,0
85009,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,"Gamma, Erich","Grady Booch, Richard Helm, Ralph Johnson, John Vlissides","=""0201633612""","=""9780201633610""",0,4.20,Addison-Wesley Professional,Hardcover,416,1994,1994,,2023/02/26,to-read,to-read (#4),to-read,,,,0,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.38,Pearson,Paperback,464,2008,2007,,2023/02/26,to-read,to-read (#3),to-read,,,,0,0
10284614,The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"Martin, Robert C.",,"=""0137081073""","=""9780137081073""",0,4.27,Pearson,Paperback,210,2011,2011,,2023/02/26,to-read,to-read (#2),to-read,,,,0,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger","=""067973452X""","=""9780679734529""",0,4.18,Vintage Classics,Paperback,136,1994,1864,2023/02/26,2021/04/29,,,read,,,,1,0
4845,Code Complete,Steve McConnell,"McConnell, Steve",,"=""0735619670""","=""9780735619678""",0,4.30,Microsoft Press,Paperback,914,2004,1993,,2023/02/26,to-read,to-read (#1),to-read,,,,0,0
6680282,Стихотворения и поэмы,Mikhail Lermontov,"Lermontov, Mikhail",Михаил Юрьевич Лермонтов,"=""5389102118""","=""9785389102118""",5,4.37,Азбука,,316,2015,1841,,2016/08/18,,,read,,,,1,0
51190372,The Psychological Significance Of The Biblical Stories: Genesis,Jordan B. Peterson,"Peterson, Jordan B.",,"=""""","=""""",0,4.51,,Audiobook,,2017,2017,2022/06/14,2022/04/10,,,read,,,,1,0
17341464,"Genesis (Bible, #1)",Anonymous,"Anonymous, Anonymous",,"=""""","=""""",5,4.37,,Paperback,50,,-800,2022/04/10,2022/03/20,,,read,"Combined with the biblical lectures of Peterson, the lectures of Jonathan Peageau, lectures of Paul Vanderklay and the book ""Jordan Peterson, God, and Christianity<br/>THE SEARCH FOR A MEANINGFUL LIFE"" Genesis book is actually mind opening. It was a great introduction to my first steps into being an Orthodox Christian. It gave me much insight into some of my questioning towards what god is, how i should behave as a christian, why i should initially blindly follow orthodox traditions, how i should perceive the covenants with god, but most of all it helped me start believing in God. As thomas Aquinas brillaintly says how we have two wings. On one aide we have god, on the other we have rationality. They need to walk side by side. ",,,1,0
54507148,Макиавели отвъд лицемерието,София Петрова,"Петрова, София",,"=""""","=""9789545155215""",3,3.67,Милениум,Paperback,176,2020,,2022/03/20,2021/06/09,,,read,,,,1,0
30107793,Аз още броя дните,Георги Бърдаров,"Бърдаров, Георги",,"=""""","=""9789542820710""",4,4.55,Ciela ,Paperback,186,2016,,2022/03/20,2021/02/21,,,read,,,,1,0
58525500,"Jordan Peterson, God, and Christianity: The Search for a Meaningful Life",Christopher Kaczor,"Kaczor, Christopher",Matthew Petrusek,"=""""","=""""",3,4.22,Word on Fire Institute,Kindle Edition,234,2021,,,2022/03/20,,,read,,,,1,0
105097,Ten Little Niggers,Agatha Christie,"Christie, Agatha",,"=""0002318350""","=""9780002318358""",5,4.28,Collins Crime Club,Hardcover,252,1939,1939,,2017/08/22,,,read,,,,1,0
36139189,"Кант и свободният избор (Философия за всеки, #7)",София Петрова,"Петрова, София",Николай Киров,"=""""","=""9789545154188""",5,4.50,Милениум,Paperback,73,2017,,2021/06/15,2021/06/09,,,read,"Another great summary by Sofia Petrova. Kant's short life stories give a great representation of what this man truly was. His ideas of the critical and practical mind. His experiences with friends and acquaintances. His strict way of live and views on life, death, friendship, free will, behaviour, virtue show how this man was the first professional philosopher and how he gave start to German philosophy in the 18th century. He was also the root cause of the raise of Idealism and Romantism in the 19th century.<br/><br/>What made the biggest impression on me was his simple explanation on a moral and virtuous life. In simple theory we fight over our instincts, wants, wills and before we act on it we run through our rational mind, if the latter approves then we can safely go on if not we fight over our desire. But in practice it's the most difficult thing a man can accomplish.<br/><br/>""Women want control. Men want self-control""",,,1,0
39852748,Ницше и волята за власт,София Петрова,"Петрова, София",,"=""""","=""9789545154386""",5,4.33,Милениум,Paperback,160,2018,,2021/06/12,2021/06/09,,,read,"A great summary of Nietzsche's life and ideas through brief stories from his adolescence to adulthood.<br/><br/>Amor fati, Thus Spoke Zarathustra, the uber mensch, the death of the gods, friendship with Wagner, love with Lu Salome, his ideas on nihilism, sympathy, the moral philosopher, death, life, friendships, the pursuit of power, the power of music, the idea of virtue, Nietzsche vs Kant. All of this ideas are briefly explored and give the reader exactly what he needs to an i troduction to this extraordinary man who stayed committed to his ideas until his breakdown, coma and subsequent heart attack.",,,1,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",4,3.96,Harper Press,Paperback,273,2005,-400,2021/06/09,2016/09/12,,,read,"The three fundamentals are know yourself, know the enemy and know the terrain. These can be further diversified. It mentions the mentality of the leader, of the commanders and the soldiers. It also explains how to attack by using fire and how to use spies to their best abilities.",,,1,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",3,4.12,Time Warner Books UK,Paperback,195,2001,1997,2021/06/07,2021/06/07,,,read,"This book could have been shortened to 20 pages. But it's definitely worth a read. Throughout the entire time it motivates you to think about how u can make some ""Active"" income.<br/><br/>Best advice I saw in the book:<br/><br/>- Keep thinking, just to keep your brain active in finding new opportunities whether that's exploring the properties market or reading a book on investing.<br/><br/>- Understanding how owning a firm would help you get back some taxes. I would find a friend who has a firm and order something, run it through the company and get back tax. (Depends on your location) <br/><br/>- Diversify your investments(Stocks, Bonds, Crypto) <br/><br/>- Start thinking about your pension<br/><br/>- Explore the idea of owning a business. <br/><br/>- Keep your emotions separate. Keep calm. <br/><br/>- All in all this book teaches you about what your mindset should be and I believe its a great book for a highscooler. <br/><br/>DISLIKES<br/><br/>- However, I disliked how he says MLM are a good thing and you should strive for it, despite me knowing some people who are highly successful at it, but if its not for you, it's not for you. <br/><br/>- There is too much repetition of everything. <br/><br/>- After double checking not everything is a true representation of his experience. Some things are mentioned as real life experience, but are made up. <br/><br/>- Studies have shown that people who have a mid level jobs are happier than people who own a business. <br/><br/>- Money does definitely not bring you happiness, despite a psychologist once telling me that most people's depression and problems come from not having money. <br/><br/>- Robert failed in the financial business company world. He was living out his car before these series of books exploded. <br/><br/>- He was never poor, mom was a nurse, dad was an academic. <br/><br/>I would strongly advise to avoid buying his seminars, games and possibly other books. The golden knowledge is not here my friends.",,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,2021/04/29,2016/10/28,,,read,"In this novel we have a comparison between the world of sacrifice, pain and spiritual progress to the one of painless and pleasurable existence. John cannot merge with the new society and is defeated by it. By succumbing to the pleasure he hates himself and ultimately commits suicide.<br/><br/>Another view would suggest that by removing pain from existence the governemnt of the brave new world has charged people with their autonomy. Is this a price we are willing to pay?",true,,1,0
1297123,The Black Obelisk,Erich Maria Remarque,"Remarque, Erich Maria",,"=""0449912442""","=""9780449912447""",5,4.38,Random House Publishing Group,Paperback,448,1998,1956,2021/04/12,2021/01/17,,,read,"The book captures Germany between the two world wars. The crushing defeat after the 1st, the incomparable inflation which followed and along with other misfortunes caused the rise of nazism. Our protagonist Ludwig is a dreamer, a man of art and philosophy. He does not fit with the time he was born in. A time of defeatist mentality, daily anxiety, sad and bewildered people. Death is amongst the entire German population and what best way to explore it than to place Ludwig a WW1 veteran, as a person working in a tombstone company. A place where he can examine death at close sight. Seeing how a person reacts in the face of death can teach you everything about his true character. Along with several other characters they act crazy with actions and dialog, which is a necessity when you live in crazy times. The most memorable moments in the book for me were his discussions with Isabella. A girl who he meets in a psychiatric hospital after she has developed schizophrenia following her traumatic early years.",,,1,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",5,4.04,,Paperback,82,1848,1848,2021/04/12,2021/04/12,,,read,"The short story describes a loner roming the streets of Dostoyevsky's city St Petersburg. Looking and examining people whose path he crosses, despite shying away from conversation he can truly feel the others emotions and be as well as happy and sad with them. He finally meets, despite in an unfortunate setting the protagonist's companion(Nastyenka) with whom they find comfort and fight through  conversations the lonely nights.<br/><br/>Despite the protagonist never finding love or even having a romantic relationship he has a very adult and deep understanding of the malleable type of love we all seem to admire and be infatuated with. This is best shown when after having made plans for their future Nastyenka gives up everything I a few moments after her old flame and love returns. The protagonist has symathzed with her and began to love her, however decides that her halpibess weights over his needs and wants.",true,,1,0
14142,The Art of Loving,Erich Fromm,"Fromm, Erich",,"=""0061129739""","=""9780061129735""",0,4.01,Harper Perennial Modern Classics,Paperback,192,2019,1956,2021/01/25,2021/01/17,,,read,"I loved this book. It started by giving examples of motherly, brotherly(biblical), fatherly, erotic and god love. It showed how ideological(marxist) or capitalist societal structures define and influence people's view of love. The book also went deep into the parent-child relationship and how it influences the child's perception of love. I loved all the examples of people who had not developed fully into a grown up because of the selfish view of the parent. One great example was the man badly i fluenced by his mother(Carl Jung's puer aeternus). The book finishes off with practical love and explains how the three key principles(discipline, concentration and patience) can be respected, believed in and integrated into our daily activities.",,,1,0
4069,Man’s Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1959,2021/01/17,2016/08/30,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""""","=""""",0,3.86,Bantam Classics,Paperback,201,1972,1915,,2020/09/24,,,read,,,,1,0
67891,The Undiscovered Self,C.G. Jung,"Jung, C.G.",R.F.C. Hull,"=""0451217322""","=""9780451217325""",5,4.14,Signet,Paperback,112,2006,1961,,2020/09/22,,,read,"Firstly, what i loved most about this book was how the self was diminished among societal presence. Plays great with the quote by George Carlin which went along like this ""I love the individual. Beautiful, inspiring, interesting. But i hate him/her when they become become a group"".<br/><br/>Secondly, the part about psychosis tearing the self into two parts. 1. What the individual is. 2 what the individual think he/het should be hit home like never before.<br/><br/>Finally, I loved how he says that there is a huge difference between Religion(Following god from above) and faith(Following a set of rules for behaviour on earth).",,,1,0
